$1940-01-01 to 2025-12-31  ERA5 daily-mean N42.0-42.25_E-75.5--75.0,,,,,
,,,,,
JDAY,TAIR,TDEW,WIND,PHI,CLOUD
1,-10.100000381469727,-15.5,3.880000114440918,4.349999904632568,4.199999809265137
2,-9.300000190734863,-13.100000381469727,3.759999990463257,4.829999923706055,6.900000095367432
3,-8.399999618530273,-11.699999809265137,4.670000076293945,4.960000038146973,5.900000095367432
4,-7.199999809265137,-10.800000190734863,4.230000019073486,5.010000228881836,8.199999809265137
5,-8.300000190734863,-11.399999618530273,0.75,3.0799999237060547,6.5
6,-9.0,-12.800000190734863,5.139999866485596,5.159999847412109,8.800000190734863
7,-13.699999809265137,-17.899999618530273,3.3399999141693115,5.670000076293945,4.099999904632568
8,-9.0,-13.199999809265137,1.7699999809265137,1.909999966621399,9.899999618530273
9,-10.399999618530273,-13.699999809265137,2.25,5.980000019073486,3.200000047683716
10,-12.199999809265137,-18.200000762939453,0.30000001192092896,1.4199999570846558,6.199999809265137
11,-8.5,-13.600000381469727,1.9700000286102295,2.3299999237060547,5.199999809265137
12,-1.899999976158142,-4.0,4.800000190734863,2.5899999141693115,9.899999618530273
13,0.0,-1.0,1.440000057220459,2.380000114440918,9.600000381469727
14,-1.100000023841858,-2.4000000953674316,5.460000038146973,2.240000009536743,9.899999618530273
15,0.8999999761581421,-1.7000000476837158,2.930000066757202,2.9800000190734863,8.0
16,-7.800000190734863,-12.800000190734863,5.610000133514404,4.789999961853027,7.300000190734863
17,-14.600000381469727,-19.299999237060547,3.430000066757202,4.909999847412109,5.400000095367432
18,-15.0,-19.200000762939453,3.440000057220459,4.389999866485596,3.200000047683716
19,-12.300000190734863,-16.299999237060547,3.240000009536743,4.690000057220459,5.900000095367432
20,-17.600000381469727,-21.600000381469727,2.369999885559082,4.480000019073486,0.30000001192092896
21,-11.899999618530273,-15.5,4.28000020980835,4.179999828338623,4.099999904632568
22,-7.5,-11.300000190734863,4.75,4.579999923706055,7.300000190734863
23,-8.5,-11.800000190734863,2.180000066757202,5.420000076293945,5.0
24,-8.699999809265137,-13.699999809265137,2.890000104904175,0.6000000238418579,10.0
25,-11.199999809265137,-14.600000381469727,2.9800000190734863,5.099999904632568,5.5
26,-10.0,-13.199999809265137,3.950000047683716,4.940000057220459,8.399999618530273
27,-13.600000381469727,-17.0,3.930000066757202,5.170000076293945,6.800000190734863
28,-12.300000190734863,-16.0,4.710000038146973,5.260000228881836,6.400000095367432
29,-12.0,-15.600000381469727,2.319999933242798,5.239999771118164,1.899999976158142
30,-8.899999618530273,-14.699999809265137,1.2200000286102295,0.12999999523162842,4.699999809265137
31,-12.600000381469727,-17.200000762939453,2.7300000190734863,5.960000038146973,0.0
32,-11.0,-15.399999618530273,1.909999966621399,5.460000038146973,6.599999904632568
33,-4.5,-6.699999809265137,1.2300000190734863,0.10999999940395355,9.899999618530273
34,-13.5,-16.399999618530273,4.980000019073486,5.440000057220459,6.400000095367432
35,-9.199999809265137,-12.399999618530273,3.7899999618530273,5.400000095367432,6.300000190734863
36,-6.599999904632568,-11.199999809265137,0.36000001430511475,4.480000019073486,8.899999618530273
37,-2.0,-4.900000095367432,2.240000009536743,2.9200000762939453,9.800000190734863
38,1.7999999523162842,0.4000000059604645,2.5299999713897705,4.070000171661377,10.0
39,-4.800000190734863,-8.0,3.119999885559082,4.929999828338623,6.5
40,-2.5999999046325684,-5.900000095367432,1.2000000476837158,4.889999866485596,6.900000095367432
41,-1.399999976158142,-3.0999999046325684,3.8299999237060547,2.4700000286102295,8.5
42,1.600000023841858,0.699999988079071,1.6200000047683716,4.690000057220459,9.0
43,-2.299999952316284,-7.699999809265137,3.1700000762939453,4.489999771118164,5.0
44,0.20000000298023224,-2.5999999046325684,1.75,5.119999885559082,8.300000190734863
45,-4.900000095367432,-8.0,4.929999828338623,1.190000057220459,10.0
46,-6.300000190734863,-12.399999618530273,6.889999866485596,5.880000114440918,7.599999904632568
47,-9.300000190734863,-13.899999618530273,5.329999923706055,5.559999942779541,0.5
48,-7.800000190734863,-11.399999618530273,4.059999942779541,6.0,2.5999999046325684
49,-3.5,-7.099999904632568,1.590000033378601,0.7099999785423279,6.400000095367432
50,-0.8999999761581421,-3.0999999046325684,4.46999979019165,1.6699999570846558,10.0
51,-1.600000023841858,-3.9000000953674316,4.099999904632568,0.7200000286102295,10.0
52,-3.4000000953674316,-6.199999809265137,4.909999847412109,6.099999904632568,9.899999618530273
53,-10.5,-14.300000190734863,2.130000114440918,6.199999809265137,0.20000000298023224
54,-8.800000190734863,-13.100000381469727,2.5,4.699999809265137,6.199999809265137
55,-8.600000381469727,-11.699999809265137,1.2999999523162842,3.0199999809265137,7.5
56,-3.0999999046325684,-5.599999904632568,1.7100000381469727,4.619999885559082,9.600000381469727
57,-12.600000381469727,-17.200000762939453,3.740000009536743,5.599999904632568,0.8999999761581421
58,-12.800000190734863,-17.0,0.5400000214576721,1.4900000095367432,8.399999618530273
59,-5.699999809265137,-8.0,0.9700000286102295,3.059999942779541,9.899999618530273
60,-5.099999904632568,-8.100000381469727,1.659999966621399,5.590000152587891,6.300000190734863
61,-3.299999952316284,-7.5,1.5499999523162842,0.15000000596046448,9.199999809265137
62,-4.5,-7.300000190734863,2.4800000190734863,2.1600000858306885,6.099999904632568
63,-3.0999999046325684,-4.800000190734863,3.759999990463257,2.4100000858306885,10.0
64,-0.30000001192092896,-2.0999999046325684,4.800000190734863,2.1700000762939453,10.0
65,0.10000000149011612,-1.7000000476837158,0.8999999761581421,4.289999961853027,10.0
66,-0.800000011920929,-3.0999999046325684,3.890000104904175,5.150000095367432,9.800000190734863
67,-3.799999952316284,-6.699999809265137,3.509999990463257,5.150000095367432,9.600000381469727
68,-3.0,-5.599999904632568,2.890000104904175,5.429999828338623,8.699999809265137
69,-3.299999952316284,-5.900000095367432,3.1600000858306885,5.489999771118164,3.5
70,-5.900000095367432,-9.199999809265137,4.230000019073486,5.28000020980835,5.300000190734863
71,-10.0,-14.100000381469727,5.269999980926514,5.380000114440918,6.699999809265137
72,-12.199999809265137,-17.299999237060547,4.579999923706055,5.659999847412109,0.8999999761581421
73,-8.699999809265137,-14.199999809265137,2.059999942779541,0.17000000178813934,4.099999904632568
74,-2.0,-7.800000190734863,4.46999979019165,2.559999942779541,9.899999618530273
75,-2.299999952316284,-5.5,1.4299999475479126,3.2799999713897705,8.800000190734863
76,-6.0,-9.699999809265137,2.680000066757202,4.420000076293945,6.599999904632568
77,-4.400000095367432,-8.600000381469727,3.5199999809265137,4.679999828338623,4.099999904632568
78,-1.2999999523162842,-3.9000000953674316,1.2799999713897705,1.7100000381469727,9.300000190734863
79,1.5,-2.299999952316284,1.3600000143051147,3.6500000953674316,7.400000095367432
80,-0.5,-4.900000095367432,2.180000066757202,3.7300000190734863,3.9000000953674316
81,-2.5999999046325684,-7.400000095367432,3.6700000762939453,4.909999847412109,5.699999809265137
82,-2.799999952316284,-7.800000190734863,2.9800000190734863,3.3299999237060547,6.199999809265137
83,-10.100000381469727,-15.600000381469727,5.010000228881836,4.960000038146973,4.800000190734863
84,-12.0,-17.899999618530273,4.940000057220459,4.909999847412109,1.600000023841858
85,-11.699999809265137,-17.0,4.300000190734863,5.03000020980835,5.5
86,-8.300000190734863,-14.199999809265137,5.420000076293945,5.150000095367432,3.299999952316284
87,-5.900000095367432,-10.899999618530273,1.0199999809265137,4.119999885559082,8.300000190734863
88,0.30000001192092896,-2.299999952316284,0.8500000238418579,0.8299999833106995,7.599999904632568
89,1.5,-1.2999999523162842,3.0199999809265137,2.5,7.599999904632568
90,4.5,4.099999904632568,2.5799999237060547,2.819999933242798,10.0
91,4.5,1.5,3.259999990463257,5.53000020980835,9.600000381469727
92,0.10000000149011612,-4.199999809265137,4.650000095367432,5.21999979019165,2.799999952316284
93,-3.700000047683716,-9.5,3.0,5.449999809265137,4.099999904632568
94,1.7000000476837158,-5.199999809265137,0.9200000166893005,1.159999966621399,8.300000190734863
95,4.199999809265137,1.2000000476837158,3.5399999618530273,2.890000104904175,8.899999618530273
96,1.2999999523162842,-1.5,3.5399999618530273,5.199999809265137,7.599999904632568
97,-3.4000000953674316,-8.199999809265137,5.510000228881836,5.260000228881836,0.6000000238418579
98,0.699999988079071,-4.099999904632568,3.1500000953674316,5.230000019073486,3.0
